"id";"food_category";"name";"water";"calories";"protein";"total_fat";"sfa";"mufa";"pufa";"cholesterol";"carbs";"sugar";"ash";"dietary_fiber";"calcium";"iron";"magnesium";"phosphorus";"potassium";"sodium";"zinc";"copper";"selenium";"edible_fraction";"vitamin_c";"thiamine";"riboflavin";"niacin";"vitamin_b5";"vitamin_b6";"folic_acid";"folate";"food_based_folate";"vitamin_b12";"vitamin_a";"retinol";"carotenoids";"vitamin_e";"vitamin_d";"vitamin_k";"priceTierId";"imageId";"editedById";"isEdited";"can_be_a_dish";"is_gluten_free";"is_lacto_vegetarian";"is_ovo_lacto_vegetarian";"is_ovo_vegetarian";"is_vegan";"has_eggs";"has_gluten";"has_honey";"has_meat";"has_milk"
1073;1;CREMA, ÁCIDA O AGRIA, BAJA GRASA;71.00;181.00;7.00;14.10;8.70;4.10;0.50;35.00;7.00;0.30;0.00;0.90;141.00;0.06;11.00;85.00;211.00;70.00;0.27;0.01;4.10;1.00;1.00;0.04;0.24;0.07;;0.02;0.00;11.00;11.00;0.30;119.00;117.00;27.00;0.40;0.30;0.70;;;;false;;;;;;;;;;;
15083;15;"AZUCAR BLANCA, GRANULADA, FORTIF.C/VIT A Y HIERRO
(1000 mg/0.8 mg)";0.00;387.00;0.00;0.00;0.00;0.00;0.00;0.00;99.80;99.80;0.00;0.01;1.00;0.80;0.00;0.00;2.00;1.00;0.01;0.01;0.60;1.00;0.00;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1000.00;0.00;0.00;0.00;0.00;0.00;;;;false;;;;;;;;;;;
1074;1;CREMA, ÁCIDA O AGRIA, CULTIVADA;73.00;198.00;2.44;19.35;10.14;4.59;0.80;59.00;4.63;3.41;0.00;0.51;101.00;0.07;10.00;76.00;125.00;31.00;0.33;0.02;3.70;1.00;1.00;0.02;0.17;0.09;0.47;0.04;0.00;6.00;6.00;0.21;124.00;121.00;25.00;0.38;0.00;1.50;;;;false;;;;;;;;;;;
1070;1;CREMA, ACIDA O AGRIA, CULTIVADA, BAJA GRASA;80.00;135.00;2.94;12.00;7.47;3.47;0.45;39.00;4.26;0.16;0.00;0.66;104.00;0.07;10.00;95.00;129.00;89.00;0.50;0.02;2.10;1.00;1.00;0.04;0.15;0.07;0.36;0.02;0.00;11.00;11.00;0.30;102.00;100.00;23.00;0.34;0.20;0.60;;;;false;;;;;;;;;;;
1071;1;CREMA, ACIDA O AGRIA, LIVIANA;78.00;136.00;3.50;10.60;6.60;3.10;0.40;35.00;7.10;0.22;0.00;0.70;141.00;0.07;10.00;71.00;212.00;83.00;0.50;0.02;3.10;1.00;1.00;0.04;0.12;0.07;;0.02;0.00;11.00;11.00;0.42;90.00;88.00;21.00;0.30;0.20;0.50;;;;false;;;;;;;;;;;
1072;1;CREMA, ÁCIDA O AGRIA, S/GRASA;81.00;74.00;3.10;0.00;0.00;0.00;0.00;9.00;15.60;0.39;0.00;0.70;125.00;0.00;10.00;95.00;129.00;141.00;0.50;0.02;5.30;1.00;0.00;0.04;0.15;0.07;;0.02;0.00;11.00;11.00;0.30;73.00;72.00;9.00;0.00;0.00;0.00;;;;false;;;;;;;;;;;
1075;1;CREMA, CHANTILLI;61.00;257.00;3.20;22.22;13.83;6.42;0.83;76.00;12.49;8.00;0.00;0.76;101.00;0.05;11.00;89.00;147.00;8.00;0.37;0.01;1.40;1.00;0.00;0.04;0.07;0.07;0.31;0.04;0.00;3.00;3.00;0.29;188.00;184.00;43.00;0.64;0.40;1.90;;;;false;;;;;;;;;;;
1001;1;CREMA, ESPESA;58.00;340.00;2.84;36.08;23.03;9.10;1.57;113.00;2.74;2.92;0.00;0.53;66.00;0.10;7.00;58.00;95.00;27.00;0.24;0.01;3.00;1.00;1.00;0.02;0.19;0.06;0.50;0.04;0.00;4.00;4.00;0.16;411.00;405.00;72.00;0.92;1.60;3.20;;;;false;;;;;;;;;;;
1076;1;CREMA, LIQUIDA PARA CAFE;75.00;191.00;2.96;19.10;10.18;4.53;0.79;59.00;2.82;3.67;0.00;0.61;91.00;0.05;9.00;92.00;136.00;72.00;0.32;0.01;4.60;1.00;1.00;0.02;0.19;0.09;0.44;0.04;0.00;2.00;2.00;0.14;181.00;178.00;37.00;0.12;1.10;1.70;;;;false;;;;;;;;;;;
1002;1;CREMA, RALA;64.00;292.00;2.17;30.91;19.34;9.09;0.88;111.00;2.96;2.96;0.00;0.46;69.00;0.03;7.00;61.00;97.00;34.00;0.25;0.01;0.50;1.00;1.00;0.02;0.13;0.04;0.26;0.03;0.00;4.00;4.00;0.20;279.00;274.00;60.00;0.88;0.60;2.70;;;;false;;;;;;;;;;;
