id,sugar,total_fat,cluster
1781609,4.0,0.0,0
714932,0.0,0.7,0
1985323,2.5,7.5,0
2168940,9.04,4.82,0
425693,51.35,0.0,1
1116575,9.29,0.0,0
2186273,0.0,2.0,0
2117823,51.72,10.34,1
589040,7.08,11.5,0
2022287,2.29,2.57,0
1423095,1.82,1.82,0
833652,10.67,3.0,0
1702884,5.75,0.0,0
1480223,30.0,26.67,3
1968501,9.58,0.0,0
1569398,14.49,2.9,0
1670440,3.57,1.79,0
1864072,20.0,1.82,0
2126308,0.0,7.89,0
1764205,0.0,0.0,0
570531,3.28,0.0,0
1704397,0.0,14.04,0
1826027,16.1,0.0,0
2199882,17.06,0.88,0
2195373,1.18,12.16,0
2114509,16.67,12.5,0
1512999,10.0,0.0,0
1229339,3.33,50.0,2
1235251,35.48,32.26,3
1192327,22.22,0.0,1
1839089,2.31,0.77,0
1513962,3.33,7.5,0
1611120,55.56,0.0,1
1950336,2.94,38.24,2
2128839,10.75,1.61,0
1788909,30.0,0.0,1
2165106,4.76,2.93,0
1642610,32.73,18.18,3
1137578,60.0,0.0,1
1381189,6.67,1.33,0
1670377,2.47,0.62,0
1334477,10.0,1.25,0
2166293,16.67,30.0,2
1275361,47.62,0.0,1
1499328,0.0,50.0,2
2119353,0.42,0.0,0
2133666,2.88,0.96,0
456383,0.77,12.31,0
493407,3.33,0.0,0
2176109,4.58,3.33,0
515007,4.55,6.82,0
438200,0.0,3.45,0
2109633,0.0,5.36,0
1270038,6.98,11.63,0
1940954,0.0,0.0,0
1605748,23.58,14.63,1
2181667,14.29,46.43,2
446823,4.0,8.0,0
1582634,7.08,0.0,0
1478039,20.0,3.33,0
1460604,5.81,0.0,0
1637269,0.0,0.59,0
2096830,0.0,0.0,0
1328577,11.11,0.0,0
503945,4.05,0.0,0
2167158,35.71,32.14,3
685560,30.77,9.62,1
2023059,23.53,0.0,1
1824822,2.5,0.0,0
2079069,26.55,8.85,1
1282745,18.18,0.0,0
406604,10.67,2.67,0
2076489,23.53,0.0,1
1953862,3.33,16.67,0
1688778,3.76,10.53,0
1669922,0.0,9.68,0
1138957,0.7,0.0,0
513640,3.57,0.0,0
1235798,10.71,21.43,2
2158975,36.36,9.09,1
1156554,45.0,17.5,3
1314901,45.45,33.33,3
2013635,13.27,0.44,0
2050638,12.27,0.0,0
1225905,12.5,0.0,0
1172377,23.33,0.0,1
1338476,25.71,17.14,1
393528,3.28,0.0,0
1638618,9.17,0.0,0
2097839,23.33,8.89,1
1882678,3.57,46.43,2
1957676,3.57,3.57,0
410216,4.44,0.0,0
1866198,20.0,20.0,2
392889,2.0,6.0,0
1598846,20.0,0.0,0
1855520,25.53,13.83,1
2181083,18.6,6.98,0
386258,11.62,0.0,0
608284,0.83,5.83,0
701852,11.11,17.78,2
1854977,3.33,0.0,0
587297,3.45,2.59,0
1373265,8.93,8.04,0
1823381,2.5,0.0,0
576689,0.0,1.79,0
1222853,9.09,1.36,0
1499390,9.38,46.88,2
1620090,2.0,26.0,2
623502,3.28,0.0,0
1936712,0.0,26.79,2
1405995,30.19,10.38,1
2180841,55.36,23.21,3
1115968,4.55,6.06,0
1120536,0.0,2.63,0
1126306,0.0,14.52,0
1788898,9.17,1.67,0
1822341,14.65,0.0,0
368206,26.09,25.0,3
427977,43.48,34.78,3
1988688,0.0,32.14,2
1342933,1.67,0.0,0
1746283,7.14,28.57,2
553771,4.08,5.1,0
1905845,5.0,0.0,0
644642,1.75,2.28,0
2090719,1.2,2.89,0
1575281,0.0,0.0,0
1951130,1.92,7.69,0
1527411,38.1,26.19,3
2134519,38.0,30.0,3
1131419,40.24,12.2,1
1525208,0.0,21.43,2
1134331,25.81,30.65,3
2078775,24.49,22.45,3
1046399,12.5,0.0,0
1871983,8.45,0.0,0
1736248,26.72,6.9,1
2126123,3.57,32.14,2
2175395,18.26,15.65,1
622838,5.88,10.29,0
1042857,20.93,25.58,2
1605193,45.0,0.0,1
2068884,34.78,17.39,1
1676130,27.91,41.86,3
565560,28.57,0.0,1
1484994,4.0,38.0,2
1382420,2.35,0.0,0
2132680,36.67,33.33,3
1579686,9.58,3.33,0
1895720,3.57,3.57,0
1215602,3.57,50.0,2
1973795,6.67,10.0,0
1879315,8.33,0.0,0
1665110,3.23,0.0,0
1145322,23.66,11.45,1
1707628,4.65,6.98,0
1489433,10.64,2.13,0
713034,0.0,28.57,2
1779414,0.83,0.0,0
1992438,0.0,0.0,0
2182838,60.0,0.0,1
389443,3.33,0.0,0
599176,0.0,0.0,0
1354882,19.35,0.0,0
967555,0.0,0.44,0
1565030,9.28,2.58,0
1158023,19.44,11.11,1
1032091,0.0,0.0,0
1862685,1.41,3.18,0
1417548,14.44,0.0,0
1146165,0.83,4.17,0
2109736,5.88,2.94,0
1680370,49.23,15.38,3
726284,42.11,6.58,1
1041389,7.55,3.77,0
1917642,5.79,0.0,0
395316,3.33,20.0,2
2191927,0.0,3.94,0
1571007,0.0,25.0,2
593963,25.0,3.57,1
1778734,21.43,3.57,1
891572,0.0,0.0,0
1312785,0.0,0.0,0
1721073,0.0,12.28,0
1989084,0.0,14.91,0
2130838,0.0,50.0,2
1321814,0.0,21.43,2
1972026,5.52,3.07,0
423202,46.43,3.57,1
1917665,0.0,28.57,2
1157484,2.36,13.39,0
1337660,9.6,0.0,0
1229660,31.58,44.74,3
2112903,2.0,7.0,0
1826428,3.31,1.24,0
1230914,26.0,16.0,1
1366595,0.0,26.67,2
470913,37.04,3.7,1
2074217,12.39,0.0,0
929916,3.57,39.29,2
1595646,6.67,0.0,0
1193687,22.22,0.0,1
527800,12.86,16.43,0
2035997,6.12,3.06,0
1176359,36.67,16.67,1
1747810,35.29,27.06,3
1596271,5.36,2.68,0
1890295,19.44,15.74,1
1355180,42.86,21.43,3
1716905,1.76,7.65,0
1863224,3.57,32.14,2
1502417,19.43,0.0,0
448788,18.75,7.03,0
1090513,43.33,0.0,1
383582,10.0,0.0,0
1623490,0.0,10.0,0
1970483,38.71,29.03,3
1503441,15.22,28.26,2
1267238,3.09,1.55,0
972161,5.13,2.56,0
561603,3.33,30.0,2
2182623,4.22,0.0,0
1919932,10.0,46.67,2
1247100,3.57,32.14,2
456097,21.05,0.0,1
1421264,4.29,0.0,0
1999238,3.57,46.43,2
440989,0.0,33.33,2
1179480,6.4,1.6,0
1534593,1.0,18.0,2
1659629,17.5,25.0,2
1637455,6.45,11.29,0
1233919,47.5,0.0,1
486289,5.0,0.0,0
642674,2.04,8.84,0
1118522,1.67,46.67,2
619128,21.43,32.14,2
1915721,26.39,8.33,1
1988256,0.0,21.43,2
1548547,1.18,1.76,0
1321581,0.0,25.0,2
556409,0.39,4.71,0
360836,32.43,5.41,1
1289192,28.07,29.82,3
801687,35.0,32.5,3
2199135,3.33,11.67,0
352181,3.33,0.0,0
1455631,0.0,0.0,0
1151060,0.67,7.33,0
1129495,0.0,32.14,2
1136894,5.5,0.11,0
494624,13.33,0.0,0
857768,52.94,17.65,3
1968248,3.33,0.0,0
1614497,3.57,46.43,2
453166,28.57,23.21,3
1031827,6.88,3.7,0
386239,3.39,2.12,0
1613985,0.0,28.12,2
2045186,30.0,30.0,3
1376879,5.0,4.41,0
1675397,1.75,2.63,0
1048361,0.0,28.57,2
1406610,1.6,0.0,0
1624338,38.24,20.59,3
1245773,6.45,0.0,0
2154295,33.33,29.17,3
2108406,1.89,28.3,2
1710075,3.33,40.0,2
1068993,22.22,0.0,1
1263599,0.0,0.0,0
2031404,1.64,9.02,0
880898,1.79,2.68,0
984947,0.0,10.0,0
1091769,4.03,13.71,0
1296812,7.5,0.0,0
2041095,19.23,11.54,1
1709607,33.33,20.37,3
1490328,0.0,0.0,0
1604793,10.42,0.0,0
802145,1.19,8.33,0
1684953,12.0,29.33,2
1980419,0.7,0.0,0
1568373,7.14,46.43,2
1191034,1.8,11.71,0
1942388,0.0,21.43,2
2014840,9.23,13.85,0
1977901,51.43,40.0,3
1293876,1.77,2.12,0
1343965,3.03,0.0,0
1515602,0.0,0.0,0
2113506,4.8,0.0,0
1326867,26.25,18.75,1
1645988,2.86,2.04,0
1552283,3.1,10.85,0
630464,19.66,6.18,1
704286,25.0,0.0,1
1355538,1.79,2.68,0
1173298,27.27,4.55,1
1257429,0.0,19.64,2
724588,42.31,30.77,3
2167834,1.69,0.0,0
1165394,1.42,12.77,0
548521,7.14,28.57,2
1592398,33.33,0.0,1
1274519,46.67,33.33,3
2057977,8.21,0.97,0
1027305,10.62,0.0,0
412645,0.0,0.0,0
2172422,17.5,11.67,0
2174036,8.85,3.54,0
1398919,0.0,12.28,0
1147261,13.33,0.0,0
913678,23.68,15.79,1
1636161,26.67,15.0,1
1550630,32.5,18.75,3
1148524,44.44,40.74,3
643018,30.0,30.0,3
1134289,40.0,35.0,3
2096768,56.58,0.0,1
1242077,0.0,0.0,0
1595721,25.0,42.5,2
2181114,1.43,7.86,0
2085347,17.65,0.0,0
366100,0.0,25.0,2
1272662,60.0,31.43,3
1847926,22.0,28.0,2
1855286,3.12,17.19,0
1544474,0.0,0.88,0
1650046,1.79,1.79,0
532504,22.0,16.0,1
2028126,20.0,0.0,0
1785189,0.0,3.57,0
1795680,4.8,0.8,0
718506,25.42,6.78,1
376474,6.67,8.33,0
1730752,0.0,25.0,2
1318534,54.55,18.18,3
1719844,1.18,0.0,0
1815602,1.92,11.54,0
1699470,9.17,0.0,0
551676,35.71,7.14,1
1515066,16.67,0.0,0
613742,3.33,16.67,0
2071275,33.93,12.5,1
1937542,0.0,0.0,0
1461867,6.67,0.0,0
2140577,7.14,28.57,2
1412662,0.88,3.98,0
763734,8.77,0.21,0
1076459,6.33,2.53,0
1991408,0.0,0.0,0
926910,0.0,28.57,2
1680941,3.57,42.86,2
594529,0.77,1.15,0
1483647,8.82,8.82,0
578510,0.0,9.52,0
1321880,2.4,12.02,0
2042844,28.57,17.86,1
1230505,52.5,3.0,1
1979865,32.5,25.0,3
1844395,40.0,0.0,1
510512,8.67,0.0,0
569701,60.0,26.67,3
1895890,3.54,5.31,0
1632882,12.68,0.0,0
1094661,3.57,23.21,2
1113407,30.0,16.67,1
